Patient Id,First Name,Last Name,Client Patient Id,Gender,Age,Date Of Birth,Age DOB Estimated,Client Request Id,Sample Id,Date Received,Date Submitted,Date Verified,Date Published,Date Invalidated,Date Cancelled,Analysis,Result,Method,Instrument,Reportable,Sample Status,Period Criteria - created_at
P22-133723,Sylvia,Lawrence,184-53-3221,1,69,2020-12-11 18:18:25.000000,False,238-05-1286,BP22-43639,,,,,,,HIV,,,,True,received,2022-01-23 10:07:45.853720
P22-133855,Tony,Glass,450-25-6732,3,65,1972-05-15 08:02:05.000000,False,718-23-4452,BP22-43685,,,,,,,HIV,,,,True,received,2022-01-23 10:08:12.632589
P22-133859,Sarah,Frey,391-51-4349,1,26,1973-08-29 03:35:51.000000,True,062-54-5075,BP22-43689,,,,,,,HIV,,,,True,received,2022-01-23 10:08:13.393090
P22-133713,Kendra,Mathis,007-63-8728,3,74,2001-04-29 01:21:10.000000,True,626-69-4745,BP22-43638,,,,,,,HIV,,,,True,received,2022-01-23 10:07:44.809424
P22-133777,Lindsay,Hayden,306-59-8037,3,77,2013-10-31 07:40:38.000000,False,853-44-7479,WB22-43971,,,,,,,HIV,,,,True,received,2022-01-23 10:07:56.119291
P22-133812,Kayla,Foster,380-29-3667,3,81,2008-06-17 07:38:30.000000,True,042-34-5977,WB22-43978,,,,,,,HIV,,,,True,received,2022-01-23 10:08:02.837385
P22-133862,Angela,Rowe,020-09-2977,3,70,2021-09-26 00:11:36.000000,False,644-13-5870,BP22-43690,,,,,,,HIV,,,,True,received,2022-01-23 10:08:13.513836
P22-133895,Adrian,Rice,471-69-4209,3,66,1999-01-28 12:23:34.000000,True,606-63-8682,BP22-43706,,,,,,,HIV,,,,True,received,2022-01-23 10:08:20.016937
P22-133772,Ryan,Ruiz,474-29-6003,1,77,1997-06-25 16:26:42.000000,False,320-59-9761,WB22-43969,,,,,,,HIV,,,,True,received,2022-01-23 10:07:55.110166
P22-133941,Daniel,Pope,325-38-3066,1,90,1986-05-08 10:47:55.000000,False,470-90-9245,WB22-44027,,,,,,,HIV,,,,True,received,2022-01-23 10:08:29.686345
P22-133854,John,Mcgrath,791-95-4258,1,89,2010-04-28 11:21:25.000000,False,795-46-2275,BP22-43684,,,,,,,HIV,,,,True,received,2022-01-23 10:08:12.620603
P22-133768,William,Richmond,717-45-0440,3,55,1975-03-11 15:30:41.000000,True,839-99-6155,WB22-43968,,,,,,,HIV,,,,True,received,2022-01-23 10:07:54.197686
P22-133789,Robert,Bond,859-04-8191,2,9,1970-06-05 08:13:04.000000,True,148-49-8189,BP22-43659,,,,,,,HIV,,,,True,received,2022-01-23 10:07:58.054559
P22-133802,Ryan,Sparks,669-43-3550,1,90,2010-04-26 11:13:22.000000,False,743-61-9415,WB22-43976,,,,,,,HIV,,,,True,received,2022-01-23 10:08:00.701061
P22-133873,Charles,Taylor,471-33-4630,2,17,1992-05-10 17:56:17.000000,True,199-26-8216,WB22-44002,,,,,,,HIV,,,,True,received,2022-01-23 10:08:16.089843
P22-133953,Mathew,Cummings,003-25-0939,2,40,1987-03-05 16:13:20.000000,True,509-34-2163,WB22-44035,,,,,,,HIV,,,,True,received,2022-01-23 10:08:31.835432
P22-133886,Michele,Cobb,140-77-0672,1,32,1977-03-24 10:51:33.000000,True,204-53-8839,WB22-44008,,,,,,,HIV,,,,True,received,2022-01-23 10:08:18.065720
P22-133771,Charles,Butler,495-60-1302,3,55,2016-08-06 23:50:30.000000,False,313-29-0021,BP22-43654,,,,,,,HIV,,,,True,received,2022-01-23 10:07:55.064692
P22-133913,Kayla,Conner,288-38-5633,3,27,2010-01-30 09:18:42.000000,False,244-45-1448,WB22-44017,,,,,,,HIV,,,,True,received,2022-01-23 10:08:23.884268
P22-133831,William,Murray,016-79-4610,3,41,2010-09-14 02:13:46.000000,False,808-11-1610,BP22-43675,,,,,,,HIV,,,,True,received,2022-01-23 10:08:06.922267
P22-133783,Catherine,Carter,102-81-3968,3,37,1998-07-20 06:20:44.000000,True,243-33-1700,BP22-43658,,,,,,,HIV,,,,True,received,2022-01-23 10:07:57.480207
P22-133847,Daniel,Reyes,426-54-7170,3,29,2015-04-10 09:31:54.000000,True,142-83-3777,WB22-43993,,,,,,,HIV,,,,True,received,2022-01-23 10:08:10.559047
P22-133793,Jacob,Carlson,612-60-4358,2,5,1989-10-27 14:50:49.000000,False,831-55-5490,WB22-43974,,,,,,,HIV,,,,True,received,2022-01-23 10:07:58.752610
P22-133872,Lisa,Dorsey,876-55-5962,3,35,1975-06-12 22:43:02.000000,False,191-24-6995,BP22-43695,,,,,,,HIV,,,,True,received,2022-01-23 10:08:15.658649
P22-133801,Jonathan,Baker,654-43-4073,2,59,2012-05-09 13:22:23.000000,True,190-01-1537,WB22-43975,,,,,,,HIV,,,,True,received,2022-01-23 10:08:00.441067
P22-133904,Jerry,Santiago,718-95-9306,2,53,2009-10-25 16:01:59.000000,False,592-40-5895,WB22-44012,,,,,,,HIV,,,,True,received,2022-01-23 10:08:22.292161
P22-133807,Sarah,Johnson,434-92-9273,1,3,2021-11-25 01:54:35.000000,False,732-78-7427,BP22-43664,,,,,,,HIV,,,,True,received,2022-01-23 10:08:02.174376
P22-133874,Matthew,Hanson,784-80-2175,3,19,2013-03-22 12:44:25.000000,False,412-89-8033,BP22-43696,,,,,,,HIV,,,,True,received,2022-01-23 10:08:15.689850
P22-133980,Steven,Williams,404-09-3498,3,72,2012-05-03 02:35:49.000000,False,018-66-5405,BP22-43728,,,,,,,HIV,,,,True,received,2022-01-23 10:08:37.061165
P22-134001,Robert,Johns,663-10-4697,2,40,2019-06-28 15:08:40.000000,True,560-81-1379,WB22-44052,,,,,,,HIV,,,,True,received,2022-01-23 10:08:42.412211
P22-133962,Randy,Thomas,667-31-9015,3,28,2002-11-15 07:12:08.000000,True,748-23-0176,BP22-43722,,,,,,,HIV,,,,True,received,2022-01-23 10:08:33.606972
P22-133840,Edgar,Rogers,324-72-7946,3,25,1989-01-03 06:43:25.000000,False,874-44-5110,BP22-43677,,,,,,,HIV,,,,True,received,2022-01-23 10:08:09.417182
P22-133882,Jessica,Lozano,405-58-8395,2,49,1994-06-07 17:37:49.000000,False,412-61-8537,BP22-43698,,,,,,,HIV,,,,True,received,2022-01-23 10:08:16.915753
P22-134000,Andrea,Mahoney,216-94-0154,3,84,1977-12-19 23:03:41.000000,True,159-60-9045,BP22-43733,,,,,,,HIV,,,,True,received,2022-01-23 10:08:41.002910
P22-133928,Robin,Horton,870-02-6954,2,5,2006-04-15 10:44:02.000000,True,060-77-2682,WB22-44024,,,,,,,HIV,,,,True,received,2022-01-23 10:08:27.384846
P22-133903,Trevor,Kirby,258-05-8865,3,42,2020-05-11 08:38:24.000000,True,557-34-6785,WB22-44010,,,,,,,HIV,,,,True,received,2022-01-23 10:08:21.515263
P22-134043,Dana,Singleton,244-43-3644,2,38,1989-01-03 23:08:09.000000,True,386-09-1508,WB22-44067,,,,,,,HIV,,,,True,received,2022-01-23 10:08:50.147261
P22-133932,Patricia,Edwards,123-42-4693,3,17,2011-05-03 01:21:41.000000,False,696-54-0927,BP22-43719,,,,,,,HIV,,,,True,received,2022-01-23 10:08:28.312703
P22-133921,Dean,Anderson,510-94-7856,1,31,2018-07-19 04:39:06.000000,True,757-09-0759,BP22-43713,,,,,,,HIV,,,,True,received,2022-01-23 10:08:25.602434
P22-133944,Megan,Smith,043-65-6199,3,84,2012-06-16 03:28:16.000000,True,408-77-1468,WB22-44029,,,,,,,HIV,,,,True,received,2022-01-23 10:08:30.185289
P22-134137,Derek,Thomas,202-66-4715,2,88,2011-05-28 22:22:11.000000,False,637-90-1083,WB22-44090,,,,,,,HIV,,,,True,received,2022-01-23 10:09:08.457868
P22-134170,Whitney,Myers,152-28-3173,1,40,1987-07-24 17:16:16.000000,True,897-72-4425,WB22-44105,,,,,,,HIV,,,,True,received,2022-01-23 10:09:13.579808
P22-134194,Charles,Hardy,698-44-5788,2,39,1995-04-04 00:55:03.000000,False,205-54-1166,WB22-44118,,,,,,,HIV,,,,True,received,2022-01-23 10:09:17.947621
P22-133970,James,Erickson,390-47-5109,3,87,2008-04-02 16:39:00.000000,True,602-13-4993,BP22-43725,,,,,,,HIV,,,,True,received,2022-01-23 10:08:35.440872
P22-133929,David,Jackson,135-28-4102,3,35,2017-09-23 06:48:07.000000,False,813-67-1748,BP22-43717,,,,,,,HIV,,,,True,received,2022-01-23 10:08:27.226992
P22-133990,Raven,Schroeder,282-75-3733,3,6,2007-11-14 02:43:23.000000,True,367-64-8968,BP22-43729,,,,,,,HIV,,,,True,received,2022-01-23 10:08:39.787209
P22-134051,Sherry,Williams,533-43-0627,2,84,1971-09-10 01:00:19.000000,True,194-91-0058,BP22-43751,,,,,,,HIV,,,,True,received,2022-01-23 10:08:51.789047
P22-134056,Catherine,Erickson,839-82-1948,2,23,1977-04-08 02:23:17.000000,False,040-59-5321,BP22-43756,,,,,,,HIV,,,,True,received,2022-01-23 10:08:53.245815
P22-134054,Kelly,Chavez,099-84-3948,1,51,1986-12-28 22:51:08.000000,True,201-08-9399,BP22-43754,,,,,,,HIV,,,,True,received,2022-01-23 10:08:52.733109
P22-134008,Jessica,Gates,712-84-7932,3,8,1981-10-16 23:41:23.000000,False,654-03-1161,WB22-44053,,,,,,,HIV,,,,True,received,2022-01-23 10:08:42.733279
P22-134058,Kristin,Blair,482-64-0520,2,58,2003-08-31 17:24:12.000000,True,512-39-5762,WB22-44072,,,,,,,HIV,,,,True,received,2022-01-23 10:08:52.997810
P22-134271,Vernon,Taylor,324-22-1513,1,41,1971-08-18 22:09:43.000000,True,057-61-8506,WB22-44144,,,,,,,HIV,,,,True,received,2022-01-23 10:09:30.032637
P22-134284,Michelle,Palmer,686-28-3209,1,5,1998-05-30 16:31:00.000000,False,674-51-5136,BP22-43811,,,,,,,HIV,,,,True,received,2022-01-23 10:09:32.001482
P22-134343,Douglas,Vaughn,672-32-6472,3,59,2011-12-24 04:04:01.000000,False,553-89-8442,BP22-43828,,,,,,,HIV,,,,True,received,2022-01-23 10:09:40.750075
P22-134118,George,Bright,322-63-8116,2,71,2021-06-18 19:33:23.000000,False,368-04-9112,WB22-44085,,,,,,,HIV,,,,True,received,2022-01-23 10:09:05.066037
P22-133999,Elizabeth,Chen,659-29-5492,2,60,1985-04-09 22:10:29.000000,False,366-31-7963,BP22-43730,,,,,,,HIV,,,,True,received,2022-01-23 10:08:40.752792
P22-134015,Jonathan,Ward,741-89-7090,1,6,2019-04-14 10:54:52.000000,True,136-94-5016,WB22-44056,,,,,,,HIV,,,,True,received,2022-01-23 10:08:44.421792
P22-134163,Frank,Hawkins,350-40-1003,2,28,2011-01-26 06:27:38.000000,True,476-94-7719,BP22-43788,,,,,,,HIV,,,,True,received,2022-01-23 10:09:12.795899
P22-134185,Jill,Stokes,337-66-3476,3,54,1986-02-04 23:09:56.000000,False,267-57-1849,WB22-44110,,,,,,,HIV,,,,True,received,2022-01-23 10:09:15.943055
P22-134040,Christopher,Hunt,532-91-3161,3,29,1996-11-23 15:20:29.000000,True,336-68-3627,WB22-44066,,,,,,,HIV,,,,True,received,2022-01-23 10:08:50.130226
P22-134056,Catherine,Erickson,839-82-1948,2,23,1977-04-08 02:23:17.000000,False,040-59-5321,BP22-43755,,,,,,,HIV,,,,True,received,2022-01-23 10:08:52.922253
P22-134076,Samuel,Garcia,086-14-6819,1,20,2009-10-21 12:12:42.000000,False,882-78-1600,BP22-43765,,,,,,,HIV,,,,True,received,2022-01-23 10:08:56.985982
P22-134218,Lauren,Farmer,473-60-2354,1,51,1971-11-03 18:16:36.000000,False,205-94-9478,WB22-44128,,,,,,,HIV,,,,True,received,2022-01-23 10:09:21.494813
P22-134053,Jeff,Jones,230-16-7018,2,21,1996-08-30 00:50:41.000000,False,249-27-0935,WB22-44070,,,,,,,HIV,,,,True,received,2022-01-23 10:08:52.225224
P22-134087,Joshua,Elliott,130-61-6915,2,67,2009-05-22 01:32:36.000000,True,263-45-5434,WB22-44078,,,,,,,HIV,,,,True,received,2022-01-23 10:08:59.525797
P22-134059,Beth,Bush,503-03-3371,2,39,2021-05-26 00:13:23.000000,False,396-59-0797,BP22-43757,,,,,,,HIV,,,,True,received,2022-01-23 10:08:53.423840
P22-134068,Antonio,Shields,319-84-1789,3,39,2016-10-03 09:44:15.000000,True,427-02-2390,BP22-43763,,,,,,,HIV,,,,True,received,2022-01-23 10:08:55.988714
P22-134057,Kristy,Jones,317-81-0714,2,80,1992-02-20 14:09:41.000000,False,589-92-6282,WB22-44071,,,,,,,HIV,,,,True,received,2022-01-23 10:08:52.955267
P22-134078,Anthony,Wilson,687-73-8339,3,17,1979-11-11 07:20:54.000000,False,315-01-3760,BP22-43767,,,,,,,HIV,,,,True,received,2022-01-23 10:08:57.671517
P22-134134,Diana,Berry,639-92-3121,2,59,2014-12-14 06:20:49.000000,False,050-42-1756,WB22-44089,,,,,,,HIV,,,,True,received,2022-01-23 10:09:07.935751
P22-134208,Mary,Brown,783-83-2622,2,73,1972-06-21 04:59:17.000000,False,115-22-4702,WB22-44125,,,,,,,HIV,,,,True,received,2022-01-23 10:09:20.554391
P22-134286,Margaret,Parks,095-47-7044,2,61,2001-03-21 18:29:51.000000,True,567-21-9667,BP22-43812,,,,,,,HIV,,,,True,received,2022-01-23 10:09:32.184869
P22-134098,Kevin,Welch,117-89-0354,1,8,2007-01-22 09:37:49.000000,True,290-95-8228,BP22-43775,,,,,,,HIV,,,,True,received,2022-01-23 10:09:02.069469
P22-134414,Jessica,Brown,431-09-9636,3,28,1995-10-22 21:50:41.000000,True,163-35-9340,BP22-43852,,,,,,,HIV,,,,True,received,2022-01-23 10:09:51.917861
P22-134298,Johnny,Harvey,591-56-1740,3,3,2013-09-19 00:24:07.000000,True,769-54-1011,WB22-44151,,,,,,,HIV,,,,True,received,2022-01-23 10:09:34.098460
P22-134149,Jerry,Thomas,408-30-8069,2,62,1988-02-22 16:43:53.000000,True,269-79-1428,WB22-44094,,,,,,,HIV,,,,True,received,2022-01-23 10:09:10.814034
P22-134168,Kimberly,Walton,649-29-7244,2,16,1975-06-25 04:19:32.000000,False,580-11-3484,BP22-43789,,,,,,,HIV,,,,True,received,2022-01-23 10:09:13.352415
P22-134243,Steven,Martinez,894-91-7136,1,18,2014-01-29 10:59:49.000000,True,103-77-0085,BP22-43804,,,,,,,HIV,,,,True,received,2022-01-23 10:09:26.503471
P22-134269,Carl,Myers,101-40-6575,3,27,2019-01-20 11:56:24.000000,True,402-57-8592,WB22-44145,,,,,,,HIV,,,,True,received,2022-01-23 10:09:30.065642
P22-134133,Frank,Todd,679-32-8759,1,39,1994-02-12 16:54:59.000000,True,769-06-5687,WB22-44088,,,,,,,HIV,,,,True,received,2022-01-23 10:09:07.801791
P22-134314,Emily,Foster,586-77-6798,3,65,2016-08-24 08:21:05.000000,False,430-35-3751,WB22-44157,,,,,,,HIV,,,,True,received,2022-01-23 10:09:36.987327
P22-134142,Brian,Hall,694-57-2279,2,63,1986-12-05 12:41:42.000000,False,137-14-6328,WB22-44093,,,,,,,HIV,,,,True,received,2022-01-23 10:09:09.235638
P22-134257,Charles,Johnston,012-58-9523,1,76,2017-05-05 03:34:54.000000,False,483-55-0352,BP22-43807,,,,,,,HIV,,,,True,received,2022-01-23 10:09:28.362924
P22-134156,Rachel,Velasquez,448-88-6512,1,56,2008-03-16 19:08:39.000000,True,286-49-1030,WB22-44097,,,,,,,HIV,,,,True,received,2022-01-23 10:09:11.616001
P22-134341,Linda,Steele,239-91-5875,3,18,1976-07-17 19:18:57.000000,True,739-09-5265,BP22-43827,,,,,,,HIV,,,,True,received,2022-01-23 10:09:40.471006
P22-134166,Justin,Rivera,504-53-6179,1,32,2021-01-29 00:32:27.000000,False,659-39-8288,WB22-44101,,,,,,,HIV,,,,True,received,2022-01-23 10:09:12.835049
P22-134366,Hannah,Martin,550-06-7689,2,2,1971-04-22 21:29:33.000000,True,597-30-3545,BP22-43836,,,,,,,HIV,,,,True,received,2022-01-23 10:09:43.802006
P22-134243,Steven,Martinez,894-91-7136,1,18,2014-01-29 10:59:49.000000,True,103-77-0085,WB22-44135,,,,,,,HIV,,,,True,received,2022-01-23 10:09:26.034355
P22-134319,Charles,Sellers,310-73-1541,3,27,1981-01-31 13:56:48.000000,True,899-15-1103,BP22-43820,,,,,,,HIV,,,,True,received,2022-01-23 10:09:37.212993
P22-134336,Mikayla,Nguyen,308-67-8783,1,45,1984-04-06 12:00:53.000000,False,707-77-6017,BP22-43825,,,,,,,HIV,,,,True,received,2022-01-23 10:09:39.803349
P22-134354,Clayton,Young,250-17-6959,1,65,1977-12-03 21:22:51.000000,False,179-61-0285,WB22-44169,,,,,,,HIV,,,,True,received,2022-01-23 10:09:42.815219
P22-134313,Nancy,Anderson,843-26-0696,3,89,2014-11-14 21:32:50.000000,False,839-42-3857,BP22-43817,,,,,,,HIV,,,,True,received,2022-01-23 10:09:36.271574
P22-134467,Nicole,Wiley,777-11-5931,1,19,1983-03-18 21:08:23.000000,True,391-29-5944,WB22-44209,,,,,,,HIV,,,,True,received,2022-01-23 10:10:02.058858
P22-134494,Priscilla,Pollard,792-16-1091,2,90,1970-07-19 15:44:51.000000,True,810-28-1366,WB22-44218,,,,,,,HIV,,,,True,received,2022-01-23 10:10:07.637487
P22-134350,Amy,Barnett,644-83-7556,2,27,1980-10-29 13:34:04.000000,True,437-84-8350,BP22-43830,,,,,,,HIV,,,,True,received,2022-01-23 10:09:41.654070
P22-134323,Misty,Alvarez,876-79-4420,1,26,2018-03-08 12:45:53.000000,False,680-44-5330,WB22-44161,,,,,,,HIV,,,,True,received,2022-01-23 10:09:38.035447
P22-134337,Mary,Burke,787-37-3212,3,3,1990-07-25 19:40:25.000000,False,545-05-1640,BP22-43826,,,,,,,HIV,,,,True,received,2022-01-23 10:09:39.969427
P22-134408,Cynthia,Flores,507-33-1635,3,46,1987-05-28 17:35:48.000000,False,457-83-7846,BP22-43848,,,,,,,HIV,,,,True,received,2022-01-23 10:09:50.861917
P22-134508,Alex,Williams,567-81-5628,2,7,1974-10-08 13:08:03.000000,True,608-64-9662,WB22-44220,,,,,,,HIV,,,,True,received,2022-01-23 10:10:11.001482
P22-134450,Cameron,Perry,180-41-6414,1,43,1989-05-09 14:14:35.000000,False,408-06-4338,BP22-43860,,,,,,,HIV,,,,True,received,2022-01-23 10:09:58.082819
P22-134463,Trevor,Turner,426-93-7303,1,42,2011-02-18 21:59:19.000000,True,657-31-2198,WB22-44207,,,,,,,HIV,,,,True,received,2022-01-23 10:10:00.505071
P22-134204,Rachel,Griffith,032-93-2006,2,39,2015-06-23 09:53:14.000000,True,096-58-8472,BP22-43794,,,,,,,HIV,,,,True,received,2022-01-23 10:09:19.517098
P22-134302,Jennifer,Solis,111-74-9736,1,56,2011-01-16 00:41:05.000000,True,843-06-2218,WB22-44153,,,,,,,HIV,,,,True,received,2022-01-23 10:09:34.660033
P22-134364,Jonathan,Henson,870-29-4218,1,64,2011-07-18 23:16:47.000000,True,152-60-0598,WB22-44170,,,,,,,HIV,,,,True,received,2022-01-23 10:09:43.676996
P22-134235,Curtis,Wright,572-27-9681,1,77,2012-02-17 14:39:28.000000,False,220-42-5653,WB22-44133,,,,,,,HIV,,,,True,received,2022-01-23 10:09:24.725000
P22-134382,Roy,Mata,024-03-5269,3,40,1994-11-16 08:29:05.000000,True,444-58-0626,WB22-44174,,,,,,,HIV,,,,True,received,2022-01-23 10:09:46.120034
P22-134321,Tanya,Cooper,816-23-2194,2,37,2011-05-16 21:41:08.000000,True,516-57-2539,WB22-44159,,,,,,,HIV,,,,True,received,2022-01-23 10:09:37.937089
P22-134416,Joshua,Kennedy,240-14-2938,3,45,1979-12-30 15:01:28.000000,False,077-50-2600,WB22-44188,,,,,,,HIV,,,,True,received,2022-01-23 10:09:51.928875
P22-134449,Jennifer,Church,459-84-2156,1,27,2015-01-19 01:39:06.000000,False,768-43-5668,WB22-44200,,,,,,,HIV,,,,True,received,2022-01-23 10:09:57.889522
P22-134364,Jonathan,Henson,870-29-4218,1,64,2011-07-18 23:16:47.000000,True,152-60-0598,BP22-43835,,,,,,,HIV,,,,True,received,2022-01-23 10:09:43.530834
P22-134372,Jennifer,Henderson,403-22-5047,3,49,1977-12-15 23:17:25.000000,False,508-98-0713,WB22-44171,,,,,,,HIV,,,,True,received,2022-01-23 10:09:44.742788
P22-134413,Eric,Logan,045-48-0812,1,25,2021-02-07 08:01:20.000000,False,129-10-3750,BP22-43851,,,,,,,HIV,,,,True,received,2022-01-23 10:09:51.780792
P22-134442,Rick,Hart,639-55-8449,1,15,2001-07-25 04:29:55.000000,False,050-30-1674,BP22-43857,,,,,,,HIV,,,,True,received,2022-01-23 10:09:56.417269
P22-134447,Sherri,Gomez,555-43-9701,3,8,1999-03-03 05:06:00.000000,False,622-24-0231,WB22-44198,,,,,,,HIV,,,,True,received,2022-01-23 10:09:57.604356
